Model,Magnification,Accuracy,Precision,Recall,F1-Score,ROC-AUC
VGG16,40X,0.7826,0.7983,0.9148,0.8526,0.8077
ResNet50,40X,0.6973,0.6969,0.9903,0.8181,0.4595
DenseNet121,40X,0.7625,0.7918,0.8881,0.8372,0.7381
InceptionV3,40X,0.7793,0.7937,0.9173,0.851,0.7498
VGG16,100X,0.8109,0.7936,0.9814,0.8776,0.8066
ResNet50,100X,0.6891,0.6902,0.9977,0.8159,0.5695
DenseNet121,100X,0.875,0.8566,0.9838,0.9158,0.9121
InceptionV3,100X,0.7885,0.802,0.9211,0.8575,0.7725
VGG16,200X,0.859,0.8739,0.9305,0.9013,0.9438
ResNet50,200X,0.6915,0.6915,1.0,0.8176,0.6805
DenseNet121,200X,0.8856,0.9085,0.9281,0.9181,0.9517
InceptionV3,200X,0.8226,0.8399,0.9185,0.8774,0.8505
VGG16,400X,0.8327,0.8727,0.882,0.8773,0.8945
ResNet50,400X,0.7418,0.7895,0.8445,0.8161,0.7604
DenseNet121,400X,0.8782,0.8943,0.9303,0.912,0.927
InceptionV3,400X,0.8273,0.8374,0.9249,0.879,0.8486
